2023-02-19 11:49:43 startup archives unpack
2023-02-19 11:49:43 install libelf1:amd64 <none> 0.183-1
2023-02-19 11:49:43 status triggers-pending libc-bin:amd64 2.31-13+deb11u5
2023-02-19 11:49:43 status half-installed libelf1:amd64 0.183-1
2023-02-19 11:49:43 status unpacked libelf1:amd64 0.183-1
2023-02-19 11:49:43 install libbpf0:amd64 <none> 1:0.3-2
2023-02-19 11:49:43 status half-installed libbpf0:amd64 1:0.3-2
2023-02-19 11:49:43 status unpacked libbpf0:amd64 1:0.3-2
2023-02-19 11:49:43 install libmd0:amd64 <none> 1.0.3-3
2023-02-19 11:49:43 status half-installed libmd0:amd64 1.0.3-3
2023-02-19 11:49:43 status unpacked libmd0:amd64 1.0.3-3
2023-02-19 11:49:43 install libbsd0:amd64 <none> 0.11.3-1
2023-02-19 11:49:43 status half-installed libbsd0:amd64 0.11.3-1
2023-02-19 11:49:43 status unpacked libbsd0:amd64 0.11.3-1
2023-02-19 11:49:43 install libcap2:amd64 <none> 1:2.44-1
2023-02-19 11:49:43 status half-installed libcap2:amd64 1:2.44-1
2023-02-19 11:49:43 status unpacked libcap2:amd64 1:2.44-1
2023-02-19 11:49:43 install libmnl0:amd64 <none> 1.0.4-3
2023-02-19 11:49:43 status half-installed libmnl0:amd64 1.0.4-3
2023-02-19 11:49:43 status unpacked libmnl0:amd64 1.0.4-3
2023-02-19 11:49:43 install libxtables12:amd64 <none> 1.8.7-1
2023-02-19 11:49:43 status half-installed libxtables12:amd64 1.8.7-1
2023-02-19 11:49:43 status unpacked libxtables12:amd64 1.8.7-1
2023-02-19 11:49:43 install libcap2-bin:amd64 <none> 1:2.44-1
2023-02-19 11:49:43 status half-installed libcap2-bin:amd64 1:2.44-1
2023-02-19 11:49:43 status unpacked libcap2-bin:amd64 1:2.44-1
2023-02-19 11:49:43 install iproute2:amd64 <none> 5.10.0-4
2023-02-19 11:49:43 status half-installed iproute2:amd64 5.10.0-4
2023-02-19 11:49:43 status unpacked iproute2:amd64 5.10.0-4
2023-02-19 11:49:43 install libatm1:amd64 <none> 1:2.5.1-4
2023-02-19 11:49:43 status half-installed libatm1:amd64 1:2.5.1-4
2023-02-19 11:49:43 status unpacked libatm1:amd64 1:2.5.1-4
2023-02-19 11:49:44 install libpam-cap:amd64 <none> 1:2.44-1
2023-02-19 11:49:44 status half-installed libpam-cap:amd64 1:2.44-1
2023-02-19 11:49:44 status unpacked libpam-cap:amd64 1:2.44-1
2023-02-19 11:49:44 startup packages configure
2023-02-19 11:49:44 configure libatm1:amd64 1:2.5.1-4 <none>
2023-02-19 11:49:44 status unpacked libatm1:amd64 1:2.5.1-4
2023-02-19 11:49:44 status half-configured libatm1:amd64 1:2.5.1-4
2023-02-19 11:49:44 status installed libatm1:amd64 1:2.5.1-4
2023-02-19 11:49:44 configure libcap2:amd64 1:2.44-1 <none>
2023-02-19 11:49:44 status unpacked libcap2:amd64 1:2.44-1
2023-02-19 11:49:44 status half-configured libcap2:amd64 1:2.44-1
2023-02-19 11:49:44 status installed libcap2:amd64 1:2.44-1
2023-02-19 11:49:44 configure libcap2-bin:amd64 1:2.44-1 <none>
2023-02-19 11:49:44 status unpacked libcap2-bin:amd64 1:2.44-1
2023-02-19 11:49:44 status half-configured libcap2-bin:amd64 1:2.44-1
2023-02-19 11:49:44 status installed libcap2-bin:amd64 1:2.44-1
2023-02-19 11:49:44 configure libmnl0:amd64 1.0.4-3 <none>
2023-02-19 11:49:44 status unpacked libmnl0:amd64 1.0.4-3
2023-02-19 11:49:44 status half-configured libmnl0:amd64 1.0.4-3
2023-02-19 11:49:44 status installed libmnl0:amd64 1.0.4-3
2023-02-19 11:49:44 configure libxtables12:amd64 1.8.7-1 <none>
2023-02-19 11:49:44 status unpacked libxtables12:amd64 1.8.7-1
2023-02-19 11:49:44 status half-configured libxtables12:amd64 1.8.7-1
2023-02-19 11:49:44 status installed libxtables12:amd64 1.8.7-1
2023-02-19 11:49:44 configure libmd0:amd64 1.0.3-3 <none>
2023-02-19 11:49:44 status unpacked libmd0:amd64 1.0.3-3
2023-02-19 11:49:44 status half-configured libmd0:amd64 1.0.3-3
2023-02-19 11:49:44 status installed libmd0:amd64 1.0.3-3
2023-02-19 11:49:44 configure libbsd0:amd64 0.11.3-1 <none>
2023-02-19 11:49:44 status unpacked libbsd0:amd64 0.11.3-1
2023-02-19 11:49:44 status half-configured libbsd0:amd64 0.11.3-1
2023-02-19 11:49:44 status installed libbsd0:amd64 0.11.3-1
2023-02-19 11:49:44 configure libelf1:amd64 0.183-1 <none>
2023-02-19 11:49:44 status unpacked libelf1:amd64 0.183-1
2023-02-19 11:49:44 status half-configured libelf1:amd64 0.183-1
2023-02-19 11:49:44 status installed libelf1:amd64 0.183-1
2023-02-19 11:49:44 configure libpam-cap:amd64 1:2.44-1 <none>
2023-02-19 11:49:44 status unpacked libpam-cap:amd64 1:2.44-1
2023-02-19 11:49:44 status half-configured libpam-cap:amd64 1:2.44-1
2023-02-19 11:49:44 status installed libpam-cap:amd64 1:2.44-1
2023-02-19 11:49:44 configure libbpf0:amd64 1:0.3-2 <none>
2023-02-19 11:49:44 status unpacked libbpf0:amd64 1:0.3-2
2023-02-19 11:49:44 status half-configured libbpf0:amd64 1:0.3-2
2023-02-19 11:49:44 status installed libbpf0:amd64 1:0.3-2
2023-02-19 11:49:44 configure iproute2:amd64 5.10.0-4 <none>
2023-02-19 11:49:44 status unpacked iproute2:amd64 5.10.0-4
2023-02-19 11:49:44 status half-configured iproute2:amd64 5.10.0-4
2023-02-19 11:49:44 status installed iproute2:amd64 5.10.0-4
2023-02-19 11:49:44 trigproc libc-bin:amd64 2.31-13+deb11u5 <none>
2023-02-19 11:49:44 status half-configured libc-bin:amd64 2.31-13+deb11u5
2023-02-19 11:49:44 status installed libc-bin:amd64 2.31-13+deb11u5
2023-02-19 11:53:50 startup archives unpack
2023-02-19 11:53:50 install sensible-utils:all <none> 0.0.14
2023-02-19 11:53:50 status half-installed sensible-utils:all 0.0.14
2023-02-19 11:53:50 status unpacked sensible-utils:all 0.0.14
2023-02-19 11:53:50 install manpages:all <none> 5.10-1
2023-02-19 11:53:50 status half-installed manpages:all 5.10-1
2023-02-19 11:53:50 status unpacked manpages:all 5.10-1
2023-02-19 11:53:50 install ucf:all <none> 3.0043
2023-02-19 11:53:50 status half-installed ucf:all 3.0043
2023-02-19 11:53:50 status unpacked ucf:all 3.0043
2023-02-19 11:53:50 install binutils-common:amd64 <none> 2.35.2-2
2023-02-19 11:53:50 status half-installed binutils-common:amd64 2.35.2-2
2023-02-19 11:53:51 status unpacked binutils-common:amd64 2.35.2-2
2023-02-19 11:53:51 install libbinutils:amd64 <none> 2.35.2-2
2023-02-19 11:53:51 status triggers-pending libc-bin:amd64 2.31-13+deb11u5
2023-02-19 11:53:51 status half-installed libbinutils:amd64 2.35.2-2
2023-02-19 11:53:51 status unpacked libbinutils:amd64 2.35.2-2
2023-02-19 11:53:51 install libctf-nobfd0:amd64 <none> 2.35.2-2
2023-02-19 11:53:51 status half-installed libctf-nobfd0:amd64 2.35.2-2
2023-02-19 11:53:51 status unpacked libctf-nobfd0:amd64 2.35.2-2
2023-02-19 11:53:51 install libctf0:amd64 <none> 2.35.2-2
2023-02-19 11:53:51 status half-installed libctf0:amd64 2.35.2-2
2023-02-19 11:53:51 status unpacked libctf0:amd64 2.35.2-2
2023-02-19 11:53:51 install binutils-x86-64-linux-gnu:amd64 <none> 2.35.2-2
2023-02-19 11:53:51 status half-installed binutils-x86-64-linux-gnu:amd64 2.35.2-2
2023-02-19 11:53:51 status unpacked binutils-x86-64-linux-gnu:amd64 2.35.2-2
2023-02-19 11:53:51 install binutils:amd64 <none> 2.35.2-2
2023-02-19 11:53:51 status half-installed binutils:amd64 2.35.2-2
2023-02-19 11:53:51 status unpacked binutils:amd64 2.35.2-2
2023-02-19 11:53:51 install libisl23:amd64 <none> 0.23-1
2023-02-19 11:53:51 status half-installed libisl23:amd64 0.23-1
2023-02-19 11:53:51 status unpacked libisl23:amd64 0.23-1
2023-02-19 11:53:51 install libmpfr6:amd64 <none> 4.1.0-3
2023-02-19 11:53:51 status half-installed libmpfr6:amd64 4.1.0-3
2023-02-19 11:53:51 status unpacked libmpfr6:amd64 4.1.0-3
2023-02-19 11:53:51 install libmpc3:amd64 <none> 1.2.0-1
2023-02-19 11:53:51 status half-installed libmpc3:amd64 1.2.0-1
2023-02-19 11:53:51 status unpacked libmpc3:amd64 1.2.0-1
2023-02-19 11:53:51 install cpp-10:amd64 <none> 10.2.1-6
2023-02-19 11:53:51 status half-installed cpp-10:amd64 10.2.1-6
2023-02-19 11:53:52 status unpacked cpp-10:amd64 10.2.1-6
2023-02-19 11:53:52 install cpp:amd64 <none> 4:10.2.1-1
2023-02-19 11:53:52 status half-installed cpp:amd64 4:10.2.1-1
2023-02-19 11:53:53 status unpacked cpp:amd64 4:10.2.1-1
2023-02-19 11:53:53 install fonts-dejavu-core:all <none> 2.37-2
2023-02-19 11:53:53 status half-installed fonts-dejavu-core:all 2.37-2
2023-02-19 11:53:53 status unpacked fonts-dejavu-core:all 2.37-2
2023-02-19 11:53:53 install fontconfig-config:all <none> 2.13.1-4.2
2023-02-19 11:53:53 status half-installed fontconfig-config:all 2.13.1-4.2
2023-02-19 11:53:53 status unpacked fontconfig-config:all 2.13.1-4.2
2023-02-19 11:53:53 install libcc1-0:amd64 <none> 10.2.1-6
2023-02-19 11:53:53 status half-installed libcc1-0:amd64 10.2.1-6
2023-02-19 11:53:53 status unpacked libcc1-0:amd64 10.2.1-6
2023-02-19 11:53:53 install libgomp1:amd64 <none> 10.2.1-6
2023-02-19 11:53:53 status half-installed libgomp1:amd64 10.2.1-6
2023-02-19 11:53:53 status unpacked libgomp1:amd64 10.2.1-6
2023-02-19 11:53:53 install libitm1:amd64 <none> 10.2.1-6
2023-02-19 11:53:53 status half-installed libitm1:amd64 10.2.1-6
2023-02-19 11:53:53 status unpacked libitm1:amd64 10.2.1-6
2023-02-19 11:53:53 install libatomic1:amd64 <none> 10.2.1-6
2023-02-19 11:53:53 status half-installed libatomic1:amd64 10.2.1-6
2023-02-19 11:53:53 status unpacked libatomic1:amd64 10.2.1-6
2023-02-19 11:53:53 install libasan6:amd64 <none> 10.2.1-6
2023-02-19 11:53:53 status half-installed libasan6:amd64 10.2.1-6
2023-02-19 11:53:53 status unpacked libasan6:amd64 10.2.1-6
2023-02-19 11:53:53 install liblsan0:amd64 <none> 10.2.1-6
2023-02-19 11:53:53 status half-installed liblsan0:amd64 10.2.1-6
2023-02-19 11:53:53 status unpacked liblsan0:amd64 10.2.1-6
2023-02-19 11:53:53 install libtsan0:amd64 <none> 10.2.1-6
2023-02-19 11:53:53 status half-installed libtsan0:amd64 10.2.1-6
2023-02-19 11:53:54 status unpacked libtsan0:amd64 10.2.1-6
2023-02-19 11:53:54 install libubsan1:amd64 <none> 10.2.1-6
2023-02-19 11:53:54 status half-installed libubsan1:amd64 10.2.1-6
2023-02-19 11:53:54 status unpacked libubsan1:amd64 10.2.1-6
2023-02-19 11:53:54 install libquadmath0:amd64 <none> 10.2.1-6
2023-02-19 11:53:54 status half-installed libquadmath0:amd64 10.2.1-6
2023-02-19 11:53:54 status unpacked libquadmath0:amd64 10.2.1-6
2023-02-19 11:53:54 install libgcc-10-dev:amd64 <none> 10.2.1-6
2023-02-19 11:53:54 status half-installed libgcc-10-dev:amd64 10.2.1-6
2023-02-19 11:53:54 status unpacked libgcc-10-dev:amd64 10.2.1-6
2023-02-19 11:53:54 install gcc-10:amd64 <none> 10.2.1-6
2023-02-19 11:53:54 status half-installed gcc-10:amd64 10.2.1-6
2023-02-19 11:53:56 status unpacked gcc-10:amd64 10.2.1-6
2023-02-19 11:53:56 install gcc:amd64 <none> 4:10.2.1-1
2023-02-19 11:53:56 status half-installed gcc:amd64 4:10.2.1-1
2023-02-19 11:53:56 status unpacked gcc:amd64 4:10.2.1-1
2023-02-19 11:53:56 install libbrotli1:amd64 <none> 1.0.9-2+b2
2023-02-19 11:53:56 status half-installed libbrotli1:amd64 1.0.9-2+b2
2023-02-19 11:53:56 status unpacked libbrotli1:amd64 1.0.9-2+b2
2023-02-19 11:53:56 install libc-dev-bin:amd64 <none> 2.31-13+deb11u5
2023-02-19 11:53:56 status half-installed libc-dev-bin:amd64 2.31-13+deb11u5
2023-02-19 11:53:56 status unpacked libc-dev-bin:amd64 2.31-13+deb11u5
2023-02-19 11:53:56 install libexpat1:amd64 <none> 2.2.10-2+deb11u5
2023-02-19 11:53:56 status half-installed libexpat1:amd64 2.2.10-2+deb11u5
2023-02-19 11:53:56 status unpacked libexpat1:amd64 2.2.10-2+deb11u5
2023-02-19 11:53:56 install libpng16-16:amd64 <none> 1.6.37-3
2023-02-19 11:53:56 status half-installed libpng16-16:amd64 1.6.37-3
2023-02-19 11:53:56 status unpacked libpng16-16:amd64 1.6.37-3
2023-02-19 11:53:56 install libfreetype6:amd64 <none> 2.10.4+dfsg-1+deb11u1
2023-02-19 11:53:56 status half-installed libfreetype6:amd64 2.10.4+dfsg-1+deb11u1
2023-02-19 11:53:56 status unpacked libfreetype6:amd64 2.10.4+dfsg-1+deb11u1
2023-02-19 11:53:56 install libfontconfig1:amd64 <none> 2.13.1-4.2
2023-02-19 11:53:56 status half-installed libfontconfig1:amd64 2.13.1-4.2
2023-02-19 11:53:56 status unpacked libfontconfig1:amd64 2.13.1-4.2
2023-02-19 11:53:56 install libjpeg62-turbo:amd64 <none> 1:2.0.6-4
2023-02-19 11:53:56 status half-installed libjpeg62-turbo:amd64 1:2.0.6-4
2023-02-19 11:53:56 status unpacked libjpeg62-turbo:amd64 1:2.0.6-4
2023-02-19 11:53:56 install libdeflate0:amd64 <none> 1.7-1
2023-02-19 11:53:56 status half-installed libdeflate0:amd64 1.7-1
2023-02-19 11:53:56 status unpacked libdeflate0:amd64 1.7-1
2023-02-19 11:53:56 install libjbig0:amd64 <none> 2.1-3.1+b2
2023-02-19 11:53:56 status half-installed libjbig0:amd64 2.1-3.1+b2
2023-02-19 11:53:56 status unpacked libjbig0:amd64 2.1-3.1+b2
2023-02-19 11:53:56 install libwebp6:amd64 <none> 0.6.1-2.1
2023-02-19 11:53:56 status half-installed libwebp6:amd64 0.6.1-2.1
2023-02-19 11:53:56 status unpacked libwebp6:amd64 0.6.1-2.1
2023-02-19 11:53:56 install libtiff5:amd64 <none> 4.2.0-1+deb11u3
2023-02-19 11:53:56 status half-installed libtiff5:amd64 4.2.0-1+deb11u3
2023-02-19 11:53:57 status unpacked libtiff5:amd64 4.2.0-1+deb11u3
2023-02-19 11:53:57 install libxau6:amd64 <none> 1:1.0.9-1
2023-02-19 11:53:57 status half-installed libxau6:amd64 1:1.0.9-1
2023-02-19 11:53:57 status unpacked libxau6:amd64 1:1.0.9-1
2023-02-19 11:53:57 install libxdmcp6:amd64 <none> 1:1.1.2-3
2023-02-19 11:53:57 status half-installed libxdmcp6:amd64 1:1.1.2-3
2023-02-19 11:53:57 status unpacked libxdmcp6:amd64 1:1.1.2-3
2023-02-19 11:53:57 install libxcb1:amd64 <none> 1.14-3
2023-02-19 11:53:57 status half-installed libxcb1:amd64 1.14-3
2023-02-19 11:53:57 status unpacked libxcb1:amd64 1.14-3
2023-02-19 11:53:57 install libx11-data:all <none> 2:1.7.2-1
2023-02-19 11:53:57 status half-installed libx11-data:all 2:1.7.2-1
2023-02-19 11:53:57 status unpacked libx11-data:all 2:1.7.2-1
2023-02-19 11:53:57 install libx11-6:amd64 <none> 2:1.7.2-1
2023-02-19 11:53:57 status half-installed libx11-6:amd64 2:1.7.2-1
2023-02-19 11:53:57 status unpacked libx11-6:amd64 2:1.7.2-1
2023-02-19 11:53:57 install libxpm4:amd64 <none> 1:3.5.12-1
2023-02-19 11:53:57 status half-installed libxpm4:amd64 1:3.5.12-1
2023-02-19 11:53:57 status unpacked libxpm4:amd64 1:3.5.12-1
2023-02-19 11:53:57 install libgd3:amd64 <none> 2.3.0-2
2023-02-19 11:53:57 status half-installed libgd3:amd64 2.3.0-2
2023-02-19 11:53:57 status unpacked libgd3:amd64 2.3.0-2
2023-02-19 11:53:57 install libc-devtools:amd64 <none> 2.31-13+deb11u5
2023-02-19 11:53:57 status half-installed libc-devtools:amd64 2.31-13+deb11u5
2023-02-19 11:53:57 status unpacked libc-devtools:amd64 2.31-13+deb11u5
2023-02-19 11:53:57 install linux-libc-dev:amd64 <none> 5.10.162-1
2023-02-19 11:53:57 status half-installed linux-libc-dev:amd64 5.10.162-1
2023-02-19 11:53:57 status unpacked linux-libc-dev:amd64 5.10.162-1
2023-02-19 11:53:57 install libcrypt-dev:amd64 <none> 1:4.4.18-4
2023-02-19 11:53:57 status half-installed libcrypt-dev:amd64 1:4.4.18-4
2023-02-19 11:53:57 status unpacked libcrypt-dev:amd64 1:4.4.18-4
2023-02-19 11:53:58 install libtirpc-dev:amd64 <none> 1.3.1-1+deb11u1
2023-02-19 11:53:58 status half-installed libtirpc-dev:amd64 1.3.1-1+deb11u1
2023-02-19 11:53:58 status unpacked libtirpc-dev:amd64 1.3.1-1+deb11u1
2023-02-19 11:53:58 install libnsl-dev:amd64 <none> 1.3.0-2
2023-02-19 11:53:58 status half-installed libnsl-dev:amd64 1.3.0-2
2023-02-19 11:53:58 status unpacked libnsl-dev:amd64 1.3.0-2
2023-02-19 11:53:58 install libc6-dev:amd64 <none> 2.31-13+deb11u5
2023-02-19 11:53:58 status half-installed libc6-dev:amd64 2.31-13+deb11u5
2023-02-19 11:53:58 status unpacked libc6-dev:amd64 2.31-13+deb11u5
2023-02-19 11:53:58 install manpages-dev:all <none> 5.10-1
2023-02-19 11:53:58 status half-installed manpages-dev:all 5.10-1
2023-02-19 11:53:58 status unpacked manpages-dev:all 5.10-1
2023-02-19 11:53:59 startup packages configure
2023-02-19 11:53:59 configure libexpat1:amd64 2.2.10-2+deb11u5 <none>
2023-02-19 11:53:59 status unpacked libexpat1:amd64 2.2.10-2+deb11u5
2023-02-19 11:53:59 status half-configured libexpat1:amd64 2.2.10-2+deb11u5
2023-02-19 11:53:59 status installed libexpat1:amd64 2.2.10-2+deb11u5
2023-02-19 11:53:59 configure libxau6:amd64 1:1.0.9-1 <none>
2023-02-19 11:53:59 status unpacked libxau6:amd64 1:1.0.9-1
2023-02-19 11:53:59 status half-configured libxau6:amd64 1:1.0.9-1
2023-02-19 11:53:59 status installed libxau6:amd64 1:1.0.9-1
2023-02-19 11:53:59 configure libxdmcp6:amd64 1:1.1.2-3 <none>
2023-02-19 11:53:59 status unpacked libxdmcp6:amd64 1:1.1.2-3
2023-02-19 11:53:59 status half-configured libxdmcp6:amd64 1:1.1.2-3
2023-02-19 11:53:59 status installed libxdmcp6:amd64 1:1.1.2-3
2023-02-19 11:53:59 configure libxcb1:amd64 1.14-3 <none>
2023-02-19 11:53:59 status unpacked libxcb1:amd64 1.14-3
2023-02-19 11:53:59 status half-configured libxcb1:amd64 1.14-3
2023-02-19 11:53:59 status installed libxcb1:amd64 1.14-3
2023-02-19 11:53:59 configure manpages:all 5.10-1 <none>
2023-02-19 11:53:59 status unpacked manpages:all 5.10-1
2023-02-19 11:53:59 status half-configured manpages:all 5.10-1
2023-02-19 11:53:59 status installed manpages:all 5.10-1
2023-02-19 11:53:59 configure libbrotli1:amd64 1.0.9-2+b2 <none>
2023-02-19 11:53:59 status unpacked libbrotli1:amd64 1.0.9-2+b2
2023-02-19 11:53:59 status half-configured libbrotli1:amd64 1.0.9-2+b2
2023-02-19 11:53:59 status installed libbrotli1:amd64 1.0.9-2+b2
2023-02-19 11:53:59 configure binutils-common:amd64 2.35.2-2 <none>
2023-02-19 11:53:59 status unpacked binutils-common:amd64 2.35.2-2
2023-02-19 11:53:59 status half-configured binutils-common:amd64 2.35.2-2
2023-02-19 11:53:59 status installed binutils-common:amd64 2.35.2-2
2023-02-19 11:53:59 configure libdeflate0:amd64 1.7-1 <none>
2023-02-19 11:53:59 status unpacked libdeflate0:amd64 1.7-1
2023-02-19 11:53:59 status half-configured libdeflate0:amd64 1.7-1
2023-02-19 11:53:59 status installed libdeflate0:amd64 1.7-1
2023-02-19 11:53:59 configure linux-libc-dev:amd64 5.10.162-1 <none>
2023-02-19 11:53:59 status unpacked linux-libc-dev:amd64 5.10.162-1
2023-02-19 11:53:59 status half-configured linux-libc-dev:amd64 5.10.162-1
2023-02-19 11:53:59 status installed linux-libc-dev:amd64 5.10.162-1
2023-02-19 11:53:59 configure libctf-nobfd0:amd64 2.35.2-2 <none>
2023-02-19 11:53:59 status unpacked libctf-nobfd0:amd64 2.35.2-2
2023-02-19 11:53:59 status half-configured libctf-nobfd0:amd64 2.35.2-2
2023-02-19 11:53:59 status installed libctf-nobfd0:amd64 2.35.2-2
2023-02-19 11:53:59 configure libgomp1:amd64 10.2.1-6 <none>
2023-02-19 11:53:59 status unpacked libgomp1:amd64 10.2.1-6
2023-02-19 11:53:59 status half-configured libgomp1:amd64 10.2.1-6
2023-02-19 11:53:59 status installed libgomp1:amd64 10.2.1-6
2023-02-19 11:53:59 configure libjbig0:amd64 2.1-3.1+b2 <none>
2023-02-19 11:53:59 status unpacked libjbig0:amd64 2.1-3.1+b2
2023-02-19 11:53:59 status half-configured libjbig0:amd64 2.1-3.1+b2
2023-02-19 11:53:59 status installed libjbig0:amd64 2.1-3.1+b2
2023-02-19 11:53:59 configure libasan6:amd64 10.2.1-6 <none>
2023-02-19 11:53:59 status unpacked libasan6:amd64 10.2.1-6
2023-02-19 11:53:59 status half-configured libasan6:amd64 10.2.1-6
2023-02-19 11:53:59 status installed libasan6:amd64 10.2.1-6
2023-02-19 11:53:59 configure libtirpc-dev:amd64 1.3.1-1+deb11u1 <none>
2023-02-19 11:53:59 status unpacked libtirpc-dev:amd64 1.3.1-1+deb11u1
2023-02-19 11:53:59 status half-configured libtirpc-dev:amd64 1.3.1-1+deb11u1
2023-02-19 11:53:59 status installed libtirpc-dev:amd64 1.3.1-1+deb11u1
2023-02-19 11:53:59 configure libjpeg62-turbo:amd64 1:2.0.6-4 <none>
2023-02-19 11:53:59 status unpacked libjpeg62-turbo:amd64 1:2.0.6-4
2023-02-19 11:53:59 status half-configured libjpeg62-turbo:amd64 1:2.0.6-4
2023-02-19 11:53:59 status installed libjpeg62-turbo:amd64 1:2.0.6-4
2023-02-19 11:53:59 configure libx11-data:all 2:1.7.2-1 <none>
2023-02-19 11:53:59 status unpacked libx11-data:all 2:1.7.2-1
2023-02-19 11:53:59 status half-configured libx11-data:all 2:1.7.2-1
2023-02-19 11:53:59 status installed libx11-data:all 2:1.7.2-1
2023-02-19 11:53:59 configure libmpfr6:amd64 4.1.0-3 <none>
